cust_id,kabupaten,provinces_name,is_bad_cust,first_bu,second_bu,first_lob,second_lob,first_asset_price,second_asset_price,first_asset_year,second_asset_year,first_go_live_date,second_go_live_date,cust_gender,cust_job,cust_age
custid_22495, DENPASAR,BALI,0,BU_C,BU_B,NMC,UCF,31000000,80000000,2020,2011,2020-04-14 17:00:00,2021-01-27 17:00:00,MALE,PEG SWASTA,48
custid_22496, TANGERANG SELATAN,BANTEN,0,BU_B,BU_B,NCF,UCF,264000000,425000000,2019,2014,2019-07-31 17:00:00,2020-06-24 17:00:00,MALE,PENGUSAHA,20
custid_22497, MEDAN,SUMATERA UTARA,1,BU_B,BU_B,UCF,UCF,260000000,285000000,2004,2010,2018-01-08 17:00:00,2018-09-21 17:00:00,MALE,OTHERS,37
custid_22498, JAKARTA TIMUR,DKI JAKARTA,0,BU_B,BU_B,UCF,UCF,255000000,361000000,2013,2014,2019-11-26 17:00:00,2020-08-27 17:00:00,MALE,PENGUSAHA,22
custid_22499, MAGETAN,JAWA TIMUR,0,BU_B,BU_B,UCF,UCF,89000000,131000000,2010,2004,2019-04-29 17:00:00,2019-12-08 17:00:00,MALE,PEG SWASTA,41
custid_22500, CIREBON,JAWA BARAT,1,BU_B,BU_B,NCF,NCF,401000000,226000000,2018,2020,2018-10-30 17:00:00,2020-03-15 17:00:00,MALE,PENGUSAHA,45
custid_22502, MUSI BANYUASIN,SUMATERA SELATAN,0,BU_B,BU_B,NCF,NCF,332000000,508000000,2018,2019,2019-01-24 17:00:00,2019-08-13 17:00:00,MALE,PENGUSAHA,41
custid_22503, SUKABUMI,JAWA BARAT,1,BU_B,BU_A,NCF,NCF,379000000,253000000,2019,2021,2019-07-03 17:00:00,2021-11-24 17:00:00,MALE,PNS,24
custid_22504, TANGERANG SELATAN,BANTEN,0,BU_B,BU_B,UCF,UCF,160000000,195000000,2006,2007,2020-05-07 17:00:00,2020-10-14 17:00:00,MALE,OTHERS,43
custid_22505, JAKARTA SELATAN,DKI JAKARTA,0,BU_C,BU_B,NMC,UCF,16000000,225000000,2018,2016,2018-01-29 17:00:00,2018-06-10 17:00:00,MALE,PEG SWASTA,20
custid_22506, JAKARTA PUSAT,DKI JAKARTA,0,BU_C,BU_B,NMC,NCF,20000000,219000000,2019,2019,2019-12-08 17:00:00,2020-05-17 17:00:00,MALE,PENGUSAHA,23
custid_22507, JAKARTA UTARA,DKI JAKARTA,1,BU_C,BU_B,NMC,UCF,16000000,76000000,2018,2015,2019-01-10 17:00:00,2020-02-18 17:00:00,MALE,OTHERS,46
custid_22508, MEDAN,SUMATERA UTARA,0,BU_A,BU_A,NCF,NCF,524000000,259000000,2020,2021,2020-05-27 17:00:00,2021-11-22 17:00:00,MALE,PENGUSAHA,37
custid_22509, BANDAR LAMPUNG,LAMPUNG,1,BU_B,BU_B,NCF,NCF,546000000,255000000,2020,2021,2020-11-12 17:00:00,2021-10-31 17:00:00,MALE,PENGUSAHA,32
custid_22511, AGAM,SUMATERA BARAT,0,BU_B,BU_B,UCF,UCF,138000000,127000000,2008,2011,2018-04-03 17:00:00,2019-02-17 17:00:00,MALE,OTHERS,41
custid_22512, KUNINGAN,JAWA BARAT,0,BU_B,BU_B,UCF,UCF,95000000,115000000,2011,2012,2019-11-28 17:00:00,2019-12-13 17:00:00,MALE,PEG SWASTA,21
custid_22513, JAKARTA SELATAN,DKI JAKARTA,1,BU_C,BU_A,NMC,NCF,21000000,247000000,2019,2021,2019-06-23 17:00:00,2021-07-30 17:00:00,MALE,PEG SWASTA,50
custid_22514, KEDIRI,JAWA TIMUR,1,BU_C,BU_B,NMC,UCF,20000000,65000000,2019,2014,2019-05-12 17:00:00,2020-06-09 17:00:00,MALE,PEG SWASTA,20
custid_22515, SEMARANG,JAWA TENGAH,0,BU_B,BU_B,UCF,UCF,111000000,123000000,2009,2012,2019-04-04 17:00:00,2020-02-06 17:00:00,MALE,PENGUSAHA,50
custid_22516, PURWAKARTA,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,512000000,202000000,2017,2018,2018-02-04 17:00:00,2018-05-18 17:00:00,MALE,PNS,32
custid_22517, JAKARTA SELATAN,DKI JAKARTA,1,BU_B,BU_B,UCF,UCF,575000000,350000000,2013,2009,2019-10-23 17:00:00,2020-09-11 17:00:00,MALE,PEG SWASTA,24
custid_22518, KARAWANG,JAWA BARAT,0,BU_B,BU_B,UCF,UCF,341000000,434000000,2013,2017,2018-11-22 17:00:00,2019-09-12 17:00:00,MALE,PENGUSAHA,33
custid_22519,,JAMBI,0,BU_C,BU_B,NMC,UCF,19000000,261000000,2019,2011,2019-09-25 17:00:00,2020-05-07 17:00:00,FEMALE,PEG SWASTA,44
custid_22520, SURABAYA,JAWA TIMUR,0,BU_C,BU_B,NMC,UCF,20000000,225000000,2018,2009,2018-04-20 17:00:00,2018-08-30 17:00:00,MALE,PENGUSAHA,48
custid_22521, DELI SERDANG,SUMATERA UTARA,1,BU_C,BU_B,NMC,NCF,31000000,283000000,2020,2020,2020-04-27 17:00:00,2021-01-01 17:00:00,MALE,OTHERS,49
custid_22522, TANGERANG,BANTEN,1,BU_C,BU_B,NMC,UCF,34000000,235000000,2019,2017,2019-10-10 17:00:00,2019-10-30 17:00:00,MALE,PEG SWASTA,45
custid_22523, KOTAMOBAGU,SULAWESI UTARA,0,BU_C,BU_A,NMC,NCF,19000000,370000000,2019,2020,2019-08-06 17:00:00,2021-01-20 17:00:00,FEMALE,GURU / DOSEN,41
custid_22524, BEKASI,JAWA BARAT,1,BU_C,BU_A,NMC,NCF,17000000,445000000,2019,2020,2020-01-07 17:00:00,2020-12-31 17:00:00,MALE,PEG SWASTA,25
